Airport	Country	Area	Router	Type	Interface	Layer2	Speed	IPBW	DNA	URN	USID	MTN	POP	Carrier	CircuitRef	OB	SerialId	Booking	Meshing	OB_Ratio	ServiceNetType
COR	ARGENTINA		PCOR118	Secondary	gigabitethernet0/1	DSL	35000	35000			FI01LME2BE		SAOL02	Select Offnet	CA0CA3FBE7				airporthubnet		APH
CPH	DENMARK		PCPH745	Primary	gigabitethernet0/1	MEA	100000	20000	-	-	FI029PK3CB	KSTO626	STOX02	DGC ACCESS AB	ETHA12240676				airporthubnet		APH
CPT	SOUTH AFRICA		PCPT281	Primary	gigabitethernet0/0/1	MEA	100000	40000			FI029MKDF2		JNBT02	NEOTEL (PTY) LTD	027CAPE292010177151				airporthubnet		APH
CPT	SOUTH AFRICA		PCPT282	Secondary	gigabitethernet0/0/1	DSL	100000	100000			FI00TP8A94		JNBT01	TELKOM SA	PRCLL149190000067				airporthubnet		APH
CRK	PHILIPPINES		PCRK019	Primary	gigabitethernet0/0/1	MEA	100000	4000	-	-	FI01R4Y4AD	KMNL516	MNLT04	PHILIPPINE LONG DISTANCE TELEPHONE COMPANY	SITA01-012017-17902				airporthubnet		APH
CRK	PHILIPPINES		PCRK020	Secondary	gigabitethernet0/0/1	DSL	4096	4096			FI01R4YGDE		HKGX01	PHILIPPINE LONG DISTANCE TELEPHONE COMPANY	EPL03-042022-45262				airporthubnet		APH
CTS	JAPAN		PCTS026	Primary	gigabitethernet0/1	MEA	10000	10000	-	-	FI02995JC4	KOKO511	TYOT04	SOFTBANK TELECOM CORP	D743220001				airporthubnet		APH
CTS	JAPAN		PCTS027	Secondary	gigabitethernet0/1	MEA	10000	4000	-	-	FI02995KC5	port-channel1	OSAT04	KDDI CORPORATION	5000-2551-6723				airporthubnet		APH
CUN	MEXICO		PCUN054	Primary	serial2/0	FR	34000				FI01KEG68A		MEXT02	TELMEX	CA0AY7FXCD				airporthubnet		APH
CUN	MEXICO		PCUN055	Secondary	gigabitethernet0/1	MEA	100000	25000			FI027JKKEF		MTYL01	AXTEL S.A. DE C.V.	ETAA000244964				airporthubnet		APH
CUR	CURACAO		PCUR109	Primary	gigabitethernet0/1	MEA	10000	10000			FI029MFBF4		MIAL02						airporthubnet		APH
CUR	CURACAO		PCUR110	Secondary	gigabitethernet0/1	DSL	30720	30000			FI019RD4FF		ATLL02	-	STA.599.D006				airporthubnet		APH
CWB	BRAZIL		PCWB261	Primary	gigabitethernet0/1	MEA	100000	4000	-	-	FI01YBAAEC	KSAO614	SAOL01	-	SJP044422218A				airporthubnet		APH
CWB	BRAZIL		PCWB262	Secondary	gigabitethernet0/1	DSL	8000	3750			FI01MWNZ8A		SAOL02	-	67561462				airporthubnet		APH
CXR	VIET NAM		PCXR001	Primary	serial0/0/0	FR	2048	2048			FI01UCSME5		HANT03	VIET NAM POSTS AND TELECOMMUNICATIONS (VNPT)	POR00131				airporthubnet		APH
