Device_name;Interface_name;Interface_Descr;BandWidth;Remote_Device;ORD__Customer_code;ORD__Customer_name
"PPDP008";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP008";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP008";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP009";"gigabitethernet2";"--- trunk to OCUP firewall or switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP009";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP009";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP009";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP009";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP009";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDX156";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPDX157";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPEK080";"atm1/0";"-";"44209";"-";"53849";"airporthub"
"PPEK081";"atm1/0";"--- XNR=1155602E DNA=0000000151BE MTN Port= OB=OPEN3";"44209";"OPEN3";"53849";"airporthub"
"PPEK596";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PPEN327";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PPER216";"serial0/0/1";"--- XNR=1138834F DNA=4612475 MTN Port=";"2048";"-";"53849";"airporthub"
"PPER217";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PPER683";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PPHL576";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPHL579";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPHX281";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPHX281";"gigabitethernet0/1/0";"-";"1000000";"-";"53849";"airporthub"
"PPKX005";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPKX006";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
