Device_name;Interface_name;Interface_Descr;BandWidth;Remote_Device;ORD__Customer_code;ORD__Customer_name
"PLPQ006";"gigabitethernet6";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PLPQ006";"gigabitethernet7";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PLPQ006";"gigabitethernet9";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PLTN206";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PLUX1204";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PLUX1205";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PLYS998";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMAD5523";"atm0";"-";"4608";"-";"62332";"aph air back-up"
"PMAD5523";"ethernet0";"-";"100000";"-";"62332";"aph air back-up"
"PMAD5523";"fastethernet1";"--- Any other use";"100000";"-";"62332";"aph air back-up"
"PMAD5523";"fastethernet2";"--- Any other use";"100000";"-";"62332";"aph air back-up"
"PMAD5523";"fastethernet3";"--- For APH shared internet";"100000";"-";"62332";"aph air back-up"
"PMAD5632";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMAD5633";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMAD5633";"gigabitethernet0/0/0";"-";"100000";"-";"53849";"airporthub"
"PMAD5633";"gigabitethernet0/0/3";"-";"1000000";"-";"53849";"airporthub"
"PMAD5701";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PMAD6092";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PMAN1570";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMAN1570";"gigabitethernet0/0/0";"-";"1000000";"-";"53849";"airporthub"
"PMAN1571";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMAN534";"atm3/0";"--- XNR=1146958C DNA=000000015121 MTN Port";"33920";"-";"53849";"airporthub"
"PMAN534";"gigabitethernet0/3";"--- TO bqqt659 & bqql6568 VTI 2000";"100000";"BQQL6568";"53849";"airporthub"
"PMAN534";"serial1/0";"--- XNR = 1064686H DNA = 4446284 MTN Port =";"2048";"-";"53849";"airporthub"
"PMAN534";"serial1/1";"--- XNR = 842637B DNA = 4447276 MTN Port =";"2048";"-";"53849";"airporthub"
"PMAN534";"serial1/2";"--- XNR=1043075J DNA=4448126 MTN Port=";"2048";"-";"53849";"airporthub"
"PMAN534";"serial1/3";"--- XNR=1104329G DNA=4443366 MTN Port=";"2048";"-";"53849";"airporthub"
"PMAN534";"serial2/0";"--- XNR=1122921I DNA=4441364 MTN Port=";"2048";"-";"53849";"airporthub"
"PMAN534";"serial2/1";"-";"1544";"-";"53849";"airporthub"
"PMAN534";"serial2/2";"-";"1544";"-";"53849";"airporthub"
"PMAN534";"serial2/3";"-";"1544";"-";"53849";"airporthub"
"PMAN535";"atm3/0";"--- XNR=1146968B DNA=000000015120 MTN Port= OB=OPEN3";"33920";"OPEN3";"53849";"airporthub"
"PMAN535";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PMAN535";"serial1/0";"--- XNR = 1064703A DNA = 4446292 MTN Port =";"2048";"-";"53849";"airporthub"
"PMAN535";"serial1/1";"--- XNR = 838357C DNA = 4447249 MTN Port =";"2048";"-";"53849";"airporthub"
"PMAN535";"serial1/2";"--- XNR=1043387I DNA=4448127 MTN Port=";"2048";"-";"53849";"airporthub"
"PMAN535";"serial1/3";"--- XNR = DNA = 4441367 MTN Port =";"2048";"-";"53849";"airporthub"
"PMAN535";"serial2/0";"--- XNR = DNA = 4441418 MTN Port =";"2048";"-";"53849";"airporthub"
"PMAN535";"serial2/1";"-";"1544";"-";"53849";"airporthub"
"PMAN535";"serial2/2";"-";"1544";"-";"53849";"airporthub"
"PMAN535";"serial2/3";"-";"1544";"-";"53849";"airporthub"
"PMCI064";"gigabitethernet0";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMCO179";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PMCT104";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMCT105";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMDE155";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMDE155";"gigabitethernet0/0/2";"-";"1000000";"-";"53849";"airporthub"
"PMDZ112";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMDZ112";"gigabitethernet0/1/0";"--- To ISP -- BMIA6579";"100000";"BMIA6579";"53849";"airporthub"
"PMEL1546";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PMEL1547";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PMEL697";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMEX639";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMGA167";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMGA168";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMIA469";"gigabitethernet0";"--- To SITA SDWAN uCPE";"1000000";"-";"53849";"airporthub"
"PMIA470";"gigabitethernet0";"--- To SITA SDWAN uCPE";"1000000";"-";"53849";"airporthub"
"PMIA989";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PMLA167";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMLA167";"gigabitethernet0/0/0";"-";"1000000";"-";"53849";"airporthub"
"PMLA168";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMLA168";"gigabitethernet0/0/0";"-";"1000000";"-";"53849";"airporthub"
"PMLE066";"gigabitethernet0/3";"---";"1000000";"-";"53849";"airporthub"
"PMLE066";"serial0/0/0";"--- XNR= DNA= MTN Port= OB=OPEN3";"2048";"OPEN3";"53849";"airporthub"
"PMLE066";"serial0/0/1";"--- XNR= DNA= MTN Port= OB=OPEN3";"2048";"OPEN3";"53849";"airporthub"
"PMLE067";"gigabitethernet0/3";"---";"1000000";"-";"53849";"airporthub"
"PMLE132";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PMLM032";"gigabitethernet1";"--- trunk to campus switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM032";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM032";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM032";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM032";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM032";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM032";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM033";"gigabitethernet1";"--- trunk to campus switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM033";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM033";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM033";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM033";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM033";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMLM033";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PMNL1770";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PMNL1772";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PMNL1896";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PMNL1897";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PMNL466";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMPM288";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMPM289";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMRU211";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PMRU212";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PMRU212";"serial0/0/0";"-";"2048";"-";"53849";"airporthub"
"PMSP324";"gigabitethernet0";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PMSP324";"gigabitethernet0/0/2";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PMSP324";"gigabitethernet0/0/3";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PMSP325";"gigabitethernet0";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PMSP325";"gigabitethernet0/0/2";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PMSP325";"gigabitethernet0/0/3";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PMSQ181";"serial0/0/0:1";"---";"2048";"-";"53849";"airporthub"
"PMUC2093";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMUC2093";"gigabitethernet0/0/2";"--- TEMP CONNECTED TO PMUC1273 GE0/2";"1000000";"PMUC1273";"53849";"airporthub"
"PMUC2093";"gigabitethernet0/0/3";"-";"1000000";"-";"53849";"airporthub"
"PMUC2093";"gigabitethernet0/1/0";"-";"1000000";"-";"53849";"airporthub"
"PMUC2094";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMUC2094";"gigabitethernet0/0/2";"--- TEMP CONNECTED TO PMUC1274 GE0/2";"1000000";"PMUC1274";"53849";"airporthub"
"PMUC2094";"gigabitethernet0/0/3";"-";"1000000";"-";"53849";"airporthub"
"PMUC2094";"gigabitethernet0/1/0";"-";"1000000";"-";"53849";"airporthub"
"PMUC2512";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PMUC672";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMUC673";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PMXP086";"atm2/0";"-";"33920";"-";"53849";"airporthub"
"PMXP086";"gigabitethernet0/1";"---";"100000";"-";"53849";"airporthub"
"PMXP086";"serial1/0";"--- XNR=1025971B DNA=4392188 MTN Port=";"2048";"-";"53849";"airporthub"
"PMXP086";"serial1/1";"--- XNR=820751G DNA=4391654 MTN Port=";"2048";"-";"53849";"airporthub"
"PMXP086";"serial1/2";"--- XNR=1105721D DNA=4392332 MTN Port=";"2048";"-";"53849";"airporthub"
"PMXP086";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PMXP087";"atm2/0";"--- XNR=1223434A DNA=000000015016 MTN Port=";"33920";"-";"53849";"airporthub"
"PMXP087";"gigabitethernet0/2";"-";"100000";"-";"53849";"airporthub"
"PMXP087";"serial1/0";"--- XNR = 821615C DNA = 4391447 MTN Port =";"2048";"-";"53849";"airporthub"
"PMXP087";"serial1/1";"--- XNR=1026524H DNA=4392187 MTN Port=";"2048";"-";"53849";"airporthub"
"PMXP087";"serial1/2";"--- XNR=1105719H DNA=4392333 MTN Port=";"2048";"-";"53849";"airporthub"
"PMXP087";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PNAP225";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNAP225";"gigabitethernet0/0/0";"-";"1000000";"-";"53849";"airporthub"
"PNAP226";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNAP226";"gigabitethernet0/0/0";"-";"1000000";"-";"53849";"airporthub"
"PNAS116";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNAS116";"gigabitethernet0/1/0";"-";"100000";"-";"53849";"airporthub"
"PNBE004";"gigabitethernet2";"--- trunk to OCUP firewall or switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE004";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE004";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE004";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE004";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE004";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE005";"gigabitethernet2";"--- trunk to OCUP firewall or switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE005";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE005";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE005";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE005";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNBE005";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNCE244";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PNCE244";"serial1/0";"-";"2048";"-";"53849";"airporthub"
"PNCE244";"serial1/1";"-";"1544";"-";"53849";"airporthub"
"PNCE244";"serial1/2";"-";"1544";"-";"53849";"airporthub"
"PNCE244";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PNCE245";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PNCE245";"serial1/0";"--- XNR=915522H DNA=4331847 MTN Port=";"2048";"-";"53849";"airporthub"
"PNCE245";"serial1/1";"-";"1544";"-";"53849";"airporthub"
"PNCE245";"serial1/2";"-";"1544";"-";"53849";"airporthub"
"PNCE245";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PNGO183";"fastethernet0/1";"-- TO EAS KOSA612 Gi1/0/1 - OB=OPEN4";"10240";"KOSA612";"53849";"airporthub"
"PNGO183";"serial1/0";"-";"1536";"-";"53849";"airporthub"
"PNGO183";"serial1/1";"-";"1536";"-";"53849";"airporthub"
"PNGO183";"serial1/2";"-";"1544";"-";"53849";"airporthub"
"PNGO183";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PNGO184";"fastethernet0/1";"-- TO EAS KOKO512 Gi1/0/1 - OB=OPEN4 ECB - 50M";"51200";"KOKO512";"53849";"airporthub"
"PNGO184";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PNGO184";"serial1/0";"--- XNR=954209D DNA=4812413 MTN Port=";"1536";"-";"53849";"airporthub"
"PNGO184";"serial1/1";"-";"1536";"-";"53849";"airporthub"
"PNGO184";"serial1/2";"-";"1544";"-";"53849";"airporthub"
"PNGO184";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PNGS014";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNGS015";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNOS001";"gigabitethernet1";"--- trunk to campus switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS001";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS001";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS001";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS001";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS001";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS001";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS002";"gigabitethernet1";"--- trunk to campus switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS002";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS002";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS002";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNOS002";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
