HAV,,CUBA,,PHAV257,Standalone,128K,12,,"iberia lineas aereas de espana sociedad anonima operadora",iberianet,PHAV279,GigabitEthernet0/0/1.798,gigabitethernet0/0/1,iberianet,128,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,2048K,164,,"united airlines, inc.",unitednet1,PHAV298,GigabitEthernet0/0/1.49,gigabitethernet0/0/1,unitednet1,2048,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,256K,122,,"latam airlines group s.a.",lanchilenet,PHAV293,GigabitEthernet0/0/1.44,gigabitethernet0/0/1,lanchilenet,256,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,4096K,58901,,"sita multi-customer hub infrastructure",amrnet_SCU,PHAV311,GigabitEthernet0/0/1.62,gigabitethernet0/0/1,amrnet_SCU,4096,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,128K,76,,"public joint stock company aeroflot - russian airlines",aeroflotnet,SHAV2701,GigabitEthernet0/0/2.13,gigabitethernet0/0/2,aeroflotnet,128,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,130,,"aerovias de mexico s.a.",aeromexiconet,PHAV307,GigabitEthernet0/0/1.57,gigabitethernet0/0/1,aeromexiconet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,192K,35503,,"sita corp. data",sita_corpnet,PHAV275,GigabitEthernet0/0/1.793,gigabitethernet0/0/1,sita_corpnet,192,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,128K,5,,"air china ltd.",travelskynet,SHAV3001,GigabitEthernet0/0/2.15,gigabitethernet0/0/2,travelskynet,128,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,2048K,7927,,"jetblue airways corporation",jetbluenet,PHAV296,GigabitEthernet0/0/1.43,gigabitethernet0/0/1,jetbluenet,2048,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,128K,58901,,"sita multi-customer hub infrastructure",aircomconnectnet_PRD,PKRT243,GigabitEthernet0/0/0.19,gigabitethernet0/0/0,aircomconnectnet_PRD,128,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,4096K,58901,,"sita multi-customer hub infrastructure",amrnet_SNU,PHAV310,GigabitEthernet0/0/1.60,gigabitethernet0/0/1,amrnet_SNU,4096,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,128K,56,,"cubana de aviacion s.a.",cubananet,PHAV287,GigabitEthernet0/0/1.37,gigabitethernet0/0/1,cubananet,128,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT179,Standalone,64K,57032,,"fly dubai",flydubai_net,SKRT121,Serial1/0/0.421,serial1/0/0,flydubai_net,64,,BCAI810,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,128K,61912,,flyadeal,flyadeal_net,PKRT240,GigabitEthernet0/0/0.15,gigabitethernet0/0/0,flyadeal_net,128,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,1024K,130,,"aerovias de mexico s.a.",aeromexiconet,SHAV3071,GigabitEthernet0/0/2.44,gigabitethernet0/0/2,aeromexiconet,1024,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT179,Standalone,128K,676,,aircom,aircomconectnet,SKRT160,Serial1/0/0.404,serial1/0/0,aircomconectnet,128,,BCAI810,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,512K,63681,,emirates,ek_ul_net,PKRT229,GigabitEthernet0/0/0.4,gigabitethernet0/0/0,ek_ul_net,512,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,54189,,"american airlines inc.",amrnet,PHAV269,GigabitEthernet0/0/1.789,gigabitethernet0/0/1,amrnet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,128K,605,,"condor flugdienst gmbh",condor_net,PHAV294,GigabitEthernet0/0/1.45,gigabitethernet0/0/1,condor_net,128,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,128K,973,,"air caraibes s.a.",caraibenet,SHAV2771,GigabitEthernet0/0/2.16,gigabitethernet0/0/2,caraibenet,128,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,512K,58901,,"public joint stock company aeroflot - russian airlines",aeroflotnet,PHAV273,GigabitEthernet0/0/1.791,gigabitethernet0/0/1,aeroflotnet,512,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,64K,57032,,flydubai,flydubai_net,PKRT231,GigabitEthernet0/0/0.5,gigabitethernet0/0/0,flydubai_net,64,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,512K,56,,"cubana de aviacion s.a.",cubananet,PHAV282,GigabitEthernet0/0/1.7,gigabitethernet0/0/1,cubananet,512,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,128K,58901,,"sita multi-customer hub infrastructure",aircomconnectnet_DR,PKRT242,GigabitEthernet0/0/0.17,gigabitethernet0/0/0,aircomconnectnet_DR,128,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,512K,35503,,"sita corp. data",sita_corpnet,PHAV266,GigabitEthernet0/0/1.783,gigabitethernet0/0/1,sita_corpnet,512,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,128K,605,,"condor flugdienst gmbh",condor_net,SHAV2941,GigabitEthernet0/0/2.23,gigabitethernet0/0/2,condor_net,128,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,512K,278,,"compania panamena de aviacion s.a.",copanet,SHAV2811,GigabitEthernet0/0/2.30,gigabitethernet0/0/2,copanet,512,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,128K,53982,,"flynas company",flynas_dcs_net,PKRT236,GigabitEthernet0/0/0.13,gigabitethernet0/0/0,flynas_dcs_net,128,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,256K,454,,"air transat a.t. inc.",airtransatnet,PHAV302,GigabitEthernet0/0/1.53,gigabitethernet0/0/1,airtransatnet,256,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,256K,454,,"air transat a.t. inc.",airtransatnet,SHAV3021,GigabitEthernet0/0/2.14,gigabitethernet0/0/2,airtransatnet,256,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,64K,58901,,"sita multi-customer hub infrastructure",aircomvhfnet,PKRT241,GigabitEthernet0/0/0.16,gigabitethernet0/0/0,aircomvhfnet,64,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT180,Standalone,128K,676,,aircom,aircomconectnet,SKRT161,Serial1/0/0.466,serial1/0/0,aircomconectnet,128,,BZVL910,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,256K,77,,"turk hava yollari a.o",turkish_air_pilot_net,SHAV2921,GigabitEthernet0/0/2.24,gigabitethernet0/0/2,turkish_air_pilot_net,256,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,128K,56018,,"air arabia",airarabianet,PKRT235,GigabitEthernet0/0/0.12,gigabitethernet0/0/0,airarabianet,128,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,58901,,"virgin atlantic airways",vsnet,PHAV267,GigabitEthernet0/0/1.784,gigabitethernet0/0/1,vsnet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT180,Standalone,64K,387,,emirates,ek_ul_net,SKRT062,Serial1/0/0.465,serial1/0/0,ek_ul_net,64,,BZVL910,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,256K,643,,"bahamasair holdings ltd.",bahamasnet,SHAV3061,GigabitEthernet0/0/2.43,gigabitethernet0/0/2,bahamasnet,256,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,54128,,"sunwing airlines",sunwingnet,PHAV290,GigabitEthernet0/0/1.42,gigabitethernet0/0/1,sunwingnet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
