Device_name1	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Country_code	ORD__Country_name	UCPE_name1	AirportHub_id	profile	vedge_mpls_interface1	airporthub_router1	mpls_bw1	internet_bw1	Device_name2	UCPE_name2	vedge_mpls_interface2	mpls_bw2	airporthub_router2	internet_bw2	interface1	interface2
PBLR1552	387	emirates	emiratesnet_aph	IN	INDIA	UCPEBLR0001	BLR		ge0/0.1507	PBLR469	1024	6144	PBLR1553	UCPEBLR0002	ge0/4.3951	1024	PBLR471	6144	gigabitethernet0/1	fastethernet0/1
PBNE1031	85	cathay pacific airways	cxnet	AU	AUSTRALIA	UCPEBNE0001	BNE	Gold	ge0/0.1502	PBNE440	2048	71680	PBNE1032	UCPEBNE0002	ge0/4.3951	2048	PBNE441	71680	gigabitethernet0/0/1	gigabitethernet0/0/1
PBNE1033	166	china airlines ltd.	china_airnet	AU	AUSTRALIA	UCPEBNE0001	BNE	Gold	ge0/0.1505	PBNE440	1536	8192	PBNE1034	UCPEBNE0002	ge0/4.3951	1536	PBNE441	8192	gigabitethernet0/0/1	gigabitethernet0/0/1
PBNE1035	60	singapore airlines ltd.	sqnet		AUSTRALIA	UCPEBNE0001	BNE	Platinum	ge0/0.1503	PBNE440	20480	20480							gigabitethernet0/0/1	
PBNE1068	387	emirates	emiratesnet_aph	AU	AUSTRALIA	UCPEBNE0001	BNE		ge0/0.1507	PBNE440	1536	8192	PBNE1069	UCPEBNE0002	ge0/4.3951	1536	PBNE441	8192	gigabitethernet0/0/1	gigabitethernet0/0/1
PBNE1036	60	singapore airlines ltd.	sqnet	AU	AUSTRALIA	UCPEBNE0002	BNE	Platinum	ge0/0.1503	PBNE441	20480	20480							gigabitethernet0/0/1	gigabitethernet0/0/1
PBOG1581	164	united airlines  inc.	unitednet	CO	COLOMBIA	UCPEBOG0003	BOG		ge0/0.1510	PBOG483	10240	30720	PBOG1582	UCPEBOG0004	ge0/4.3951	10240	PBOG484	30720	gigabitethernet0/2	
PBOM2894	60	singapore airlines ltd.	sqnet	IN	INDIA	UCPEBOM0005	BOM		ge0/0.1503	PBOM1442	2048	15360	PBOM2895	UCPEBOM0006	ge0/4.3951	2048	PBOM1449	15360	gigabitethernet0/0/1	gigabitethernet0/0/1
PBOM2896	85	cathay pacific airways	cxnet	IN	INDIA	UCPEBOM0005	BOM		ge0/0.1502	PBOM1442	4096	19456	PBOM2897	UCPEBOM0006	ge0/4.3951	4096	PBOM1449	19456	gigabitethernet0/0/1	gigabitethernet0/0/1
PBOM2905	164	united airlines  inc.	unitednet	IN	INDIA	UCPEBOM0005	BOM		ge0/0.1510	PBOM1442	8192	30720	PBOM2906	UCPEBOM0006	ge0/4.3951	8192	PBOM1449	30720	gigabitethernet0/0/1	gigabitethernet0/0/1
