2392019;PYYJ022;Serial0/0/0.101;128;APCN
2392020;PYYZ1195;GigabitEthernet0/1.55;512;APCN
2392018;PYYC337;ATM0.1-aal5 layer;2000;APCN
2392016;PYTZ125;Tunnel0;8192;APCN
2392017;PYUL655;GigabitEthernet0/1.60;10000;APCN
2392017;PYUL656;GigabitEthernet0/1.412;10000;APCN
2392008;PVSA019;Tunnel0;128;APCN
2392009;PVVO082;GigabitEthernet0/0.8;384;APCN
2392009;PVVO056;FastEthernet0/1.21;128;APCN
2392010;PWTB001;Tunnel0;;APCN
2392011;PXPL006;Tunnel1111;2048;APCN
2392012;PXRE214;GigabitEthernet0/1.154;6000;APCN
2392012;PXRE215;GigabitEthernet0/1.184;6000;APCN
2392013;PYGJ002;Tunnel0;8192;APCN
2392014;PYKF054;Tunnel0;7168;APCN
2392015;PYQT014;Tunnel0;576;APCN
2392006;PVLI022;Tunnel0;512;APCN
2392007;PVSA019;Tunnel0;576;APCN
2391999;PSIN5294;Tunnel0;512;APCN
2392000;PSSG054;GigabitEthernet0/0/1.704;1000;APCN
2392001;PSVD022;ATM0.1-aal5 layer;64;APCN
2392002;PSVD025;GigabitEthernet0/0.584;512;APCN
2392003;PSZG199;FastEthernet0/1.182;256;APCN
2392004;PTLH079;Tunnel0;8192;APCN
2392005;PVER064;Tunnel0;576;APCN
2391998;PSHO001;Serial0/0/0.101;1024;APCN
2391997;PSEL904;Serial0/0/0.101;128;APCN
2391997;PSEL905;Serial0/0/0.101;128;APCN
2391996;PSEL904;Serial0/0.101;128;APCN
2391996;PSEL905;Serial0/0.101;128;APCN
2391993;PRNO045;Tunnel0;2048;APCN
2391994;PSBD011;Tunnel0;64;APCN
2391995;PSEA080;GigabitEthernet0/0/2.21;1024;APCN
2391995;PSEA081;GigabitEthernet0/0/2.60;1000;APCN
2391992;PRMF001;FastEthernet0/1.1710;512;APCN
2391992;PRMF005;Tunnel0;8192;APCN
2391989;PQRI004;Tunnel0;1000;APCN
2391990;PRIC201;Tunnel0;5120;APCN
2391991;PRLG041;GigabitEthernet0/1.789;1000;APCN
2391991;PRLG074;ATM0.101-aal5 layer;8192;APCN
2391959;PGUC002;Tunnel0;8192;APCN
2391960;PHAG425;GigabitEthernet0/1;4000;APCN
2391961;PHRG014;GigabitEthernet0/1.1626;1024;APCN
2391961;PHRG016;GigabitEthernet0/1.1665;1024;APCN
2391962;PHRG018;ATM0.1-aal5 layer;1024;APCN
