UCPE_name	hypervisor	CE_USID	IATA_code	site_code	customer_code	customer_code_catalog	chassis_vendor	chassis_hardware	CORE_site_id	chassis_type	plug_type	network_status	booking_status	remaining_days_to_delete	Last_update	CPU	Memory	Storage	Max_VNF	airporthub_router	role
UCPEANC0002	HANC0002	GO09Y4NR78	ANC	ANC	53849	IC01	cisco	encs5412/k9	CI00169852	BVPN	BVPNINT	No	Reserved	-	2019/11/28 22:36:44	12.0	16000.0	480000.0	4	PANC082	Secondary
UCPEARN0001	HARN0001	FI022UKAA4	ARN	ARN	53849	IC01	cisco	encs5412/k9	CI00173416	BVPN	BVPNINT	No	Reserved	-	2020/06/03 08:58:46	12.0	16000.0	480000.0	4		
UCPEARN0002	HARN0002	FI022VH2DD	ARN	ARN	53849	IC01	cisco	encs5412/k9	CI00173417	BVPN	BVPNINT	No	Reserved	-	2020/06/03 09:25:21	12.0	16000.0	480000.0	4	PARN041	Secondary
UCPEASU0001	HASU0001	GO0AP5337C	ASU	ASU	53849	IC01	cisco	encs5412/k9	CI00178854	BVPN	BVPNINT	No	Reserved	-	2021/09/01 11:43:57	12.0	16000.0	480000.0	4	PASU116	Primary
UCPEASU0002	HASU0002	GO0AP5AZ15	ASU	ASU	53849	IC01	cisco	encs5412/k9	CI00178854	BVPN	BVPNINT	No	Reserved	-	2021/09/02 10:43:12	12.0	16000.0	480000.0	4	PASU117	Secondary
UCPEAUA0001	HAUA0001	GO0AJWY132	AUA	AUA	53849	IC01	cisco	encs5412/k9	CI00177205	BVPN	BVPNINT	No	Reserved	-	2020/09/08 20:04:51	12.0	16000.0	480000.0	4	PAUA080	Primary
UCPEAUA0002	HAUA0002	GO0AJWY330	AUA	AUA	53849	IC01	cisco	encs5412/k9	CI00177205	BVPN	BVPNINT	No	Reserved	-	2020/09/08 20:13:18	12.0	16000.0	480000.0	4	PAUA081	Secondary
UCPEBCN0003	HBCN0003	GO09P8XB40	BCN	BCN	53849	IC01	cisco	encs5412/k9	CI00149947	BVPN	BVPNINT	No	Reserved	-	2019/11/28 13:41:40	12.0	16000.0	480000.0	4	PBCN867	Primary
UCPEBCN0004	HBCN0004	GO09P8XD46	BCN	BCN	53849	IC01	cisco	encs5412/k9	CI00149947	BVPN	BVPNINT	No	Reserved	-	2019/11/28 13:47:00	12.0	16000.0	480000.0	4	PBCN868	Secondary
UCPEBKI0001	HBKI0001	GO09T4UN67	BKI	BKI	53849	IC01	cisco	encs5412/k9	CI00167469	BVPN	BVPNINT	No	Reserved	-	2019/09/20 08:56:10	12.0	16000.0	480000.0	4	PBKI053	Primary
UCPEBKI0002	HBKI0002	GO09T4UQ78	BKI	BKI	53849	IC01	cisco	encs5412/k9	CI00167469	BVPN	BVPNINT	No	Reserved	-	2019/09/20 09:00:51	12.0	16000.0	480000.0	4	PBKI056	Secondary
UCPEBKK0003	HBKK0003	GO09K8YC41	BKK	BKK	53849	IC01	cisco	encs5412/k9	CI00164747	BVPN	BVPNINT	No	Reserved	-	2019/08/08 10:08:57	12.0	16000.0	480000.0	4	PBKK717	Primary
UCPEBKK0004	HBKK0004	GO09JH9P72	BKK	BKK	53849	IC01	cisco	encs5412/k9	CI00060065	BVPN	BVPNINT	No	Reserved	-	2019/08/08 10:18:43	12.0	16000.0	480000.0	4	PBKK718	Secondary
UCPEBKK0005	HBKK0005	GO0A9JZQ1A	BKK	BKK	53849	IC01	cisco	encs5412/k9	CI00164747	BVPN	BVPNINT	No	Reserved	-	2021/05/30 17:34:50	12.0	16000.0	480000.0	4	PBKK717	Primary
UCPEBKK0006	HBKK0006	GO0CJC8161	BKK	BKK	53849	IC01	cisco	encs5412/k9	CI00185366	BVPN	BVPNINT	No	Reserved	-	2021/06/23 06:52:15	12.0	16000.0	480000.0	4	PBKK718	Secondary
UCPEBLR0001	HBLR0001	GO0CUCV566	BLR	BLR	53849	IC01	cisco	encs5412/k9	CI00191011	BVPN	BVPNINT	No	Reserved	-	2022/01/27 15:54:06	12.0	16000.0	480000.0	4	PBLR469	Primary
UCPEBLR0002	HBLR0002	GO0CUCV764	BLR	BLR	53849	IC01	cisco	encs5412/k9	CI00191011	BVPN	BVPNINT	No	Reserved	-	2022/01/27 15:58:15	12.0	16000.0	480000.0	4	PBLR471	Secondary
UCPEBNE0001	HBNE0001	GO09Y51C6C	BNE	BNE	53849	IC01	cisco	encs5412/k9	CI00169205	BVPN	BVPNINT	No	Reserved	-	2019/12/26 10:20:37	12.0	16000.0	480000.0	4	PBNE440	Primary
UCPEBNE0002	HBNE0002	GO09Y53X77	BNE	BNE	53849	IC01	cisco	encs5412/k9	CI00169210	BVPN	BVPNINT	No	Reserved	-	2019/12/26 10:26:37	12.0	16000.0	480000.0	4	PBNE441	Secondary
UCPEBOG0003	HBOG0003	GO0AAFGC25	BOG	BOG	53849	IC01	cisco	encs5412/k9	CI00172374	BVPN	BVPNINT	No	Reserved	-	2020/09/24 17:34:48	12.0	16000.0	480000.0	4	PBOG483	Primary
UCPEBOG0004	HBOG0004	GO0AAFGE23	BOG	BOG	53849	IC01	cisco	encs5412/k9	CI00172374	BVPN	BVPNINT	No	Reserved	-	2020/09/24 17:58:49	12.0	16000.0	480000.0	4	PBOG484	Secondary
UCPEBOM0005	HBOM0005	GO0CT0ED3D	BOM	BOM	53849	IC01	cisco	encs5412/k9	CI00068189	BVPN	BVPNINT	No	Reserved	-	2022/01/12 12:16:20	12.0	16000.0	480000.0	4	PBOM1442	Primary
UCPEBOM0006	HBOM0006	GO0CT0FQ28	BOM	BOM	53849	IC01	cisco	encs5412/k9	CI00007559	BVPN	BVPNINT	No	Reserved	-	2022/01/12 12:20:50	12.0	16000.0	480000.0	4	PBOM1449	Secondary
UCPEBOS0001	HBOS0001	GO0ALQSC54	BOS	BOS	53849	IC01	cisco	encs5412/k9	CI00177916	BVPN	BVPNINT	No	Reserved	-	2020/11/10 16:39:06	12.0	16000.0	480000.0	4	PBOS312	Primary
UCPEBOS0002	HBOS0002	GO0ALQSE52	BOS	BOS	53849	IC01	cisco	encs5412/k9	CI00177916	BVPN	BVPNINT	No	Reserved	-	2020/11/10 17:04:35	12.0	16000.0	480000.0	4	PBOS311	Secondary
UCPEBRU0008	HBRU0008	GO09MYQ572	BRU	BRU	53849	IC01	cisco	encs5412/k9	CI00166683	BVPN	BVPNINT	No	Reserved	-	2019/11/08 08:17:20	12.0	16000.0	480000.0	4	PBRU4113	Primary
UCPEBRU0009	HBRU0009	GO09MYRX1F	BRU	BRU	53849	IC01	cisco	encs5412/k9	CI00166688	BVPN	BVPNINT	No	Reserved	-	2019/11/08 08:22:37	12.0	16000.0	480000.0	4	PBRU4114	Secondary
UCPEBSB0004	HBSB0004	GO0ALUGA4D	BSB	BSB	53849	IC01	cisco	encs5412/k9	CI00178034	BVPN	BVPNINT	No	Reserved	-	2020/12/18 19:56:45	12.0	16000.0	480000.0	4	PBSB257	Primary
UCPEBSB0005	HBSB0005	GO0ALUGC4F	BSB	BSB	53849	IC01	cisco	encs5412/k9	CI00178034	BVPN	BVPNINT	No	Reserved	-	2020/12/18 20:04:22	12.0	16000.0	480000.0	4	PBSB267	Secondary
UCPECAN0004	HCAN0004	GO0C5T9014	CAN	CAN	53849	IC01	cisco	encs5412/k9	CI00190393	BVPN	BVPNINT	No	Reserved	-	2021/06/29 11:20:09	12.0	16000.0	480000.0	4	PCAN294	Primary
UCPECAN0005	HCAN0005	GO0C5T9216	CAN	CAN	53849	IC01	cisco	encs5412/k9	CI00190393	BVPN	BVPNINT	No	Reserved	-	2021/06/29 11:25:49	12.0	16000.0	480000.0	4	PCAN295	Secondary
UCPECDG0001	HCDG0001	GO09MGVZ59	CDG	CDG1	53849	IC01	cisco	encs5412/k9	CI00134638	BVPN	BVPNINT	No	Reserved	-	2019/11/13 13:46:20	12.0	16000.0	480000.0	4	PCDG878	Primary
UCPECDG0002	HCDG0002	GO09MGW132	CDG	CDG1	53849	IC01	cisco	encs5412/k9	CI00134638	BVPN	BVPNINT	No	Reserved	-	2019/11/13 13:51:54	12.0	16000.0	480000.0	4	PCDG879	Secondary
UCPECDG0005	HCDG0005	GO0ECUS16E	CDG	CDG1	53849	IC01	cisco	encs5412/k9	CI00207316	BVPN	BVPNINT	No	Reserved	-	2022/09/12 04:04:18	12.0	16000.0	480000.0	4	PCDG878	Primary
UCPECDG0006	HCDG0006	GO0ECUS36C	CDG	CDG	53849	IC01	cisco	encs5412/k9	CI00207316	BVPN	BVPNINT	No	Reserved	-	2022/09/12 04:16:20	12.0	16000.0	480000.0	4		
UCPECDG0007		GO0ECUS56A	CDG	CDG	53849	IC01	cisco	encs5412/k9	CI00207316	BVPN	BVPNINT	No	Reserved	-	2022/09/12 04:21:39	12.0	16000.0	480000.0	4		
UCPECDG0008		GO0ECUS768	CDG	CDG	53849	IC01	cisco	encs5412/k9	CI00207316	BVPN	BVPNINT	No	Reserved	-	2022/09/12 04:24:45	12.0	16000.0	480000.0	4		
UCPECEB0001	HCEB0001	GO0AGT963C	CEB	CEB	53849	IC01	cisco	encs5412/k9	CI00176236	BVPN	BVPNINT	No	Reserved	-	2020/07/26 14:35:41	12.0	16000.0	480000.0	4	PCEB075	Primary
UCPECEB0002	HCEB0002	GO0ATGFZ3A	CEB	CEB	53849	IC01	cisco	encs5412/k9	CI00176327	BVPN	BVPNINT	No	Reserved	-	2020/07/26 14:41:29	12.0	16000.0	480000.0	4	PCEB076	Secondary
