Device_name	Device_reference	interface_name	Status_Up_Down	HW_Status	Prot__status	Itf__use	Interface_description	Bandwidth	UCPE_name	Site_Code_Iata	Provider	UploadSpeed	DownloadSpeed	CarrierZoneRef	Offer_NAME	DSLServicetype
PPTY360	PPTY360	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET ACCESS - 50M/50M	WAN1 ORCH=RESEAU	1000000	UCPEPTY0004	PTY	UFINET LATAM SLU	50000	50000	PAN0047576	VMS Dedicated Internet Access - 50M/50M	Select DSL
PPUJ125	PPUJ125	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DIA - FIBER 50M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEPUJ0002	PUJ	COLUMBUS NETWORKS	51200	51200	DOM0066936	VMS DIA - Fiber 50M	Select DSL
PPUS303	PPUS303	gigabitethernet3	U	up	up	WAN-INTERNET-VMS U+ BIZNET - 20M - FIBRE ETHERNET	WAN1 ORCH=RESEAU	1000000	UCPEPUS0002	PUS	LG U+	19000	19000	KOR0047825	VMS U+ Biznet - 20M - Fibre Ethernet	Select DSL
PPVG627	PPVG627	gigabitethernet3	U	up	up	WAN-INTERNET-VMS GTW DYXNET - DIA EXPRESS 20M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEPVG0001	PVG2	CHINA TELECOM GLOBAL LIMITED	20480	20480	CHN0072169	VMS Gtw DYXnet - DIA Express 20M	Select DSL
PREP037	PREP037	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET KH < 50M	WAN1 ORCH=RESEAU	1000000	UCPEREP0002	REP	Select Offnet	51200	51200	FC137REN00	SIA Offnet KH < 50M	Select DSL
PRGN196	PRGN196	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET MM < 16M	WAN1 ORCH=RESEAU	1000000	UCPERGN0002	RGN	Select Offnet	10000	10000	FV516YEN00	SIA Offnet MM < 16M	Select DSL
PRMQ021	PRMQ021	gigabitethernet3	U	up	up	WAN-INTERNET-VMS CHT-LEASED LINE + HINET (INTERNET) 5M	WAN1 ORCH=RESEAU	1000000	UCPERMQ0002	RMQ	NTT TAIWAN LTD.	5000	5000	TWN0063908	VMS CHT-Leased Line + Hinet (Internet) 5M	Select DSL
PSCL1398	PSCL1398	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET DEDICADO 60M	WAN1 ORCH=RESEAU	1000000	UCPESCL0002	SCL	TELEFONICA CHILE	60000	60000	CHL0057376	VMS Internet Dedicado 60M	Select DSL
PSFO790	PSFO790	gigabitethernet3	U	up	up	WAN-INTERNET-VMS ADI (AT&T DEDICATED INTERNET) 50M	WAN1 ORCH=RESEAU	1000000	UCPESFO0002	SFO	AT&T	250000	250000	USA0051484	VMS ADI (AT&T Dedicated Internet) 50M	Select DSL
PSGN772	PSGN772	gigabitethernet3	U	up	up	WAN-INTERNET-VMS VNPT GROUP (DIA) 100M	WAN1 ORCH=RESEAU	1000000	UCPESGN0002	SGN	VIET NAM POSTS AND TELECOMMUNICATIONS (VNPT)	100000	100000	VNM0060317	VMS VNPT Group (DIA) 100M	Select DSL
